Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,url,RISK1: supply chain,RISK1: supply chain (2),RISK1: supply chain (3),RISK2: Litigation,RISK3: Inflation,gvkey,lpermno,datadate,fyear,tic,sic,sic3,td,long_debt_dum,me,l_a,l_sale,div_d,age,atr,smalltaxlosscarry,largetaxlosscarry,l_emp,l_ppent,l_laborratio,Inv,Ch_Cash,Div,Ch_Debt,Ch_Eqty,Ch_WC,CF,td_a,td_mv,mb,prof_a,ppe_a,cash_a,xrd_a,dltt_a,invopps_FG09,sales_g,dv_a,short_debt,_merge
MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740,1902,https://en.wikipedia.org/wiki/3M,1.0,4.0,1.0,1.0,1.0,7435.0,22592.0,2019-12-31,2019.0,MMM,2670.0,267.0,21299.0,1.0,101474.14,10.706811,10.377732,1.0,0.0,0.19824561,,,4.57639,9.229359,4.6632156,0.14429343,-0.011195951,0.07425155,0.07275129,-0.019257037,-0.013569493,0.15385477,0.47692513,0.17348257,3.0468693,0.19393627,0.22819589,0.06540675,0.042790927,0.40833876,2.7495542,,0.07425155,0.14380957,both
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800,1888,https://en.wikipedia.org/wiki/Abbott_Laboratories,0.0,0.0,1.0,0.0,0.0,1078.0,20482.0,2019-12-31,2019.0,ABT,3845.0,384.0,19099.0,1.0,153091.02,11.1256,10.370486,1.0,0.0,0.09565857,,,4.6821313,9.101975,4.429035,0.026735606,0.00023568577,0.03343792,-0.023553846,-0.0061867516,0.01960611,0.090149805,0.28133515,0.110918164,2.7971485,0.11865306,0.1321608,0.060983695,0.03594208,0.25654396,2.5206811,,0.03343792,0.0881198,both
ABBV,AbbVie Inc.,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31,1551152,2013 (1888),https://en.wikipedia.org/wiki/AbbVie_Inc.,0.0,0.0,1.0,1.0,0.0,16101.0,13721.0,2019-12-31,2019.0,ABBV,2836.0,283.0,67088.0,1.0,130942.87,11.397683,10.412292,1.0,0.0,0.06456207,1.0,0.0,3.4339871,8.103797,4.7022967,-0.0066879876,0.3662122,0.07143579,0.29452953,-0.006968524,0.021107558,0.14339899,0.752825,0.33877546,2.5610714,0.17810693,0.037098132,0.44800538,0.076216124,0.70948774,2.2115889,,0.07143579,0.05756618,both
ABMD,Abiomed,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",2018-05-31,815094,1981,https://en.wikipedia.org/wiki/Abiomed,1.0,1.0,1.0,2.0,1.0,13619.0,75107.0,2019-03-31,2018.0,ABMD,3841.0,384.0,0.0,0.0,12886.678,6.9606757,6.645653,0.0,0.0,0.016494533,1.0,0.0,0.8633118,4.9836407,4.6612277,0.11045236,0.074023135,0.0,0.0,-0.052900095,0.03683895,0.23737559,0.0,0.0,12.333838,0.22574942,0.13753076,0.46635354,0.08868341,0.0,12.164233,,0.0,,both
ACN,Accenture,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1467373,1989,https://en.wikipedia.org/wiki/Accenture,1.0,1.0,1.0,1.0,1.0,143357.0,89071.0,2019-08-31,2019.0,ACN,8742.0,874.0,22.658,1.0,125991.336,10.301924,10.6739435,1.0,0.0,0.22726458,1.0,0.0,5.2522736,7.238616,1.0394188,0.05893196,0.035766948,0.06258343,-0.00016018862,-0.061855536,0.0025779223,0.21929805,0.0007605939,0.00017980543,4.7456474,0.23239502,0.04669928,0.20578015,0.026845828,0.0005453866,4.241083,,0.06258343,0.2829464,both
ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2015-08-31,718877,2008,https://en.wikipedia.org/wiki/Activision_Blizzard,1.0,0.0,1.0,1.0,0.0,180405.0,79678.0,2019-12-31,2019.0,ATVI,7372.0,737.0,2948.0,1.0,45679.72,9.895707,8.7778635,1.0,0.0,0.07960808,1.0,0.0,2.3223877,6.1862087,3.9649453,0.0011085916,0.07906274,0.014260519,0.0,0.0023179643,0.006147644,0.09211388,0.14855127,0.060623858,2.6565745,0.11655329,0.024439406,0.29543966,0.050289746,0.14537667,2.4196594,,0.014260519,0.02137042,both
ADBE,Adobe Inc.,reports,Information Technology,Application Software,"San Jose, California",1997-05-05,796343,1982,https://en.wikipedia.org/wiki/Adobe_Inc.,1.0,1.0,1.0,1.0,1.0,12540.0,75510.0,2019-11-30,2019.0,ADBE,7370.0,737.0,4138.267,1.0,149298.39,9.940899,9.321103,0.0,0.0,0.079033844,1.0,0.0,3.1626863,7.165505,4.0452785,0.021942744,0.048522618,0.0,0.0,-0.14242342,0.0005744519,0.21288878,0.19931544,0.026970524,7.683632,0.1851193,0.06227676,0.20117983,0.09296748,0.047630526,7.4422717,,0.0,0.7610294,both
AMD,Advanced Micro Devices,reports,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,2488,1969,https://en.wikipedia.org/wiki/Advanced_Micro_Devices,1.0,1.0,2.0,1.0,0.0,1161.0,61241.0,2019-12-31,2019.0,AMD,3674.0,367.0,728.0,1.0,53656.2,8.70417,8.814479,0.0,0.0,0.083333336,0.0,1.0,2.5176964,6.559615,4.1245847,0.024717983,0.0642004,0.0,-0.07846715,0.08676178,0.09107498,0.08062375,0.12076974,0.013386241,9.432183,0.12027206,0.116954215,0.25,0.2566357,0.11363637,8.419087,,0.0,0.059065934,both
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015-07-09,1158449,1932,https://en.wikipedia.org/wiki/Advance_Auto_Parts,0.0,0.0,1.0,0.0,0.0,145977.0,89217.0,2019-12-31,2019.0,AAP,5531.0,553.0,3242.461,1.0,11088.197,9.327992,9.180809,1.0,0.0,0.23653618,1.0,0.0,4.2195077,8.242635,4.0376787,0.04115553,-0.042482194,0.0015277559,-0.032838617,-0.04401475,-0.0054644495,0.07705446,0.28825656,0.22626044,1.6702316,0.08942186,0.3376921,0.037219547,0.0,0.24576369,1.2676175,,0.0015277559,0.14741334,both
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,874761,1981,https://en.wikipedia.org/wiki/AES_Corp,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
